fdc_id,description,energy_kcal,protein_g,fat_g,carbohydrate_g,caffeine_mg,sugars_g,vitamin_A_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_B6_mg,vitamin_B12_ug,biotin_ug,vitamin_C_mg,choline_mg,vitamin_D_ug,vitamin_E_mg,folic_acid_ug,vitamin_K_ug,calcium_mg,chromium_ug,copper_mg,fluoride_ug,iodine_ug,iron_mg,magnesium_mg,manganese_mg,molybdenum_ug,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,sulfur_mg,zinc_mg
747444,"Beans, Dry, Black (0% moisture)",,24.4,1.45,,,,,,,,,,,,,,,,,,191.0,,1.12,,,5.34,180.0,2.08,920.0,522.0,1540.0,,,244.0,3.37
749420,"Pork, cured, bacon, cooked, restaurant",500.0,40.9,36.5,2.1,,3.14,,,,,,,,,,,,,,,13.0,,0.13,,,1.28,36.5,0.02,,415.0,557.0,,1830.0,,3.56
748967,"Eggs, Grade A, Large, egg whole",148.0,12.4,9.96,0.96,,0.2,180.0,0.077,0.419,0.0,,0.063,1.02,,,335.0,2.46,,,,48.0,,0.0,,49.1,1.67,11.4,0.0,,184.0,132.0,31.1,129.0,,1.24
748608,"Oil, olive, extra virgin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748366,"Oil, soybean",,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,
748323,"Oil, corn",,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,,,,,,,,
748278,"Oil, canola",,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,
748236,"Eggs, Grade A, Large, egg yolk",334.0,16.2,28.8,1.02,,,,,0.467,,,,,45.9,,,,5.64,,,,,,,,,,,,,,55.8,,,
747997,"Eggs, Grade A, Large, egg white",55.0,10.7,0.0,2.36,,,,,0.391,,,,,,,,,,,,,,,,,,,,,,,17.9,,,
747693,"Ketchup, restaurant",117.0,1.11,0.55,26.8,,21.8,,,,,,,,,,,,,,,14.0,,0.066,,,0.43,13.5,0.086,,25.0,249.0,,949.0,,0.16
747430,"Beans, Dry, Medium Red (0% moisture)",,25.5,1.04,,,,,,,,,,,,,,,,,,193.0,,1.04,,,6.27,178.0,2.05,468.0,548.0,1490.0,,,232.0,3.82
747447,"Broccoli, raw",31.0,2.57,0.34,6.27,,1.4,8.0,0.077,0.114,0.639,0.61,0.191,,,91.3,,,0.15,,102.0,46.0,,0.059000000000000004,,,0.69,21.0,0.19699999999999998,,67.0,303.0,1.6,36.0,,0.42
747446,"Beans, Dry, Great Northern (0% moisture)",,24.7,1.24,,,,,,,,,,,,,,,,,,192.0,,1.08,,,5.48,176.0,1.9,557.0,519.0,1520.0,,,227.0,3.45
747445,"Beans, Dry, Pinto (0% moisture)",,23.7,1.24,,,,,,,,,,,,,,,,,,161.0,,0.978,,,5.4,170.0,1.78,515.0,507.0,1510.0,,,219.0,3.43
747448,"Strawberries, raw",31.0,0.64,0.22,7.63,,5.34,1.0,0.025,0.016,0.386,0.122,0.035,,,56.0,,,,,2.1,12.0,,0.11900000000000001,,,0.28,11.8,0.28,,20.0,89.0,0.4,10.0,,0.18
747443,"Beans, Dry, Small Red (0% moisture)",,23.5,1.28,,,,,,,,,,,,,,,,,,149.0,,0.968,,,4.95,167.0,1.76,613.0,493.0,1520.0,,,217.0,3.23
747436,"Beans, Dry, Carioca (0% moisture)",,25.2,1.44,,,,,,,,,,,,,,,,,,194.0,,1.04,,,5.87,179.0,1.93,962.0,535.0,1390.0,,,257.0,3.36
747442,"Beans, Dry, Small White (0% moisture)",,24.5,1.32,,,,,,,,,,,,,,,,,,236.0,,1.05,,,4.93,182.0,2.07,871.0,533.0,1540.0,,,241.0,3.54
747433,"Beans, Dry, Brown (0% moisture)",,25.6,1.12,,,,,,,,,,,,,,,,,,158.0,,1.03,,,4.7,158.0,1.87,1150.0,543.0,1580.0,,,254.0,3.71
747434,"Beans, Dry, Tan (0% moisture)",,26.8,1.14,,,,,,,,,,,,,,,,,,178.0,,1.1,,,5.85,198.0,2.16,804.0,555.0,1620.0,,,262.0,3.5
747435,"Beans, Dry, Light Tan (0% moisture)",,24.6,1.28,,,,,,,,,,,,,,,,,,98.0,,0.932,,,7.29,178.0,1.69,534.0,571.0,1230.0,,,228.0,3.23
747432,"Beans, Dry, Flor de Mayo (0% moisture)",,23.3,0.86,,,,,,,,,,,,,,,,,,180.0,,0.8640000000000001,,,4.47,182.0,1.7,340.0,439.0,1490.0,,,212.0,3.42
747437,"Beans, Dry, Cranberry (0% moisture)",,24.4,1.23,,,,,,,,,,,,,,,,,,152.0,,0.757,,,5.26,166.0,1.78,672.0,487.0,1340.0,,,198.0,3.03
747438,"Beans, Dry, Light Red Kidney (0% moisture)",,25.0,1.03,,,,,,,,,,,,,,,,,,103.0,,0.7859999999999999,,,6.95,158.0,1.52,384.0,549.0,1540.0,,,211.0,3.5
747439,"Beans, Dry, Pink (0% moisture)",,23.4,1.2,,,,,,,,,,,,,,,,,,137.0,,0.9470000000000001,,,5.46,164.0,1.7,607.0,491.0,1490.0,,,219.0,3.26
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",,25.9,1.31,,,,,,,,,,,,,,,,,,98.0,,0.865,,,6.58,164.0,1.67,572.0,612.0,1490.0,,,241.0,3.29
747441,"Beans, Dry, Navy (0% moisture)",,24.1,1.51,,,,,,,,,,,,,,,,,,229.0,,1.14,,,5.29,180.0,2.22,840.0,523.0,1470.0,,,244.0,3.31
321358,"Hummus, commercial",229.0,7.35,17.1,14.9,,0.34,1.0,0.15,0.115,0.948,0.318,0.14300000000000002,,,0.0,46.6,,1.74,,17.2,41.0,,0.348,,,2.41,71.1,1.06,,166.0,289.0,16.2,438.0,,1.38
328637,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",408.0,23.3,34.0,2.44,,0.33,316.0,0.028999999999999998,0.441,0.052000000000000005,0.413,0.069,1.06,,,,,0.75,,2.4,707.0,,0.033,,,0.16,26.8,0.026000000000000002,,458.0,77.0,28.3,654.0,,3.67
325198,"Cheese, pasteurized process, American, vitamin D fortified",366.0,18.0,30.6,5.27,,2.63,300.0,0.015,0.247,0.095,0.415,0.055999999999999994,1.45,,,19.2,7.5,0.79,,3.2,866.0,,0.046,,,0.48,25.1,0.038,,540.0,149.0,20.4,1660.0,,2.42
325287,"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,0.7,7.59,,7.72,,0.062,0.02,0.253,0.28,0.0,,,39.4,,,0.22,,,16.0,,0.032,,,0.07,9.6,0.02,,17.0,141.0,,1.0,,0.04
325430,"Peaches, yellow, raw",42.0,0.91,0.27,10.1,,8.39,24.0,0.024,0.031,0.8059999999999999,0.153,0.025,,,4.1,,,,,3.0,4.0,,0.078,,,0.34,8.0,0.026000000000000002,,22.0,122.0,2.1,13.0,,0.23
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0,21.0,56.1,17.1,,3.14,1.0,0.473,0.507,6.96,0.84,0.76,,,0.0,52.0,,19.6,,1.2,78.0,,1.83,,,5.21,358.0,2.89,,750.0,689.0,80.4,532.0,,6.0
325871,"Bread, white, commercially prepared (includes soft bread crumbs)",270.0,9.43,3.59,49.2,,5.34,,0.507,0.24,4.76,0.5479999999999999,0.092,,,,,,,,,211.0,,0.124,,,3.36,26.9,0.632,,113.0,117.0,23.2,477.0,,0.88
326196,"Kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,1.21,5.3,,1.12,146.0,0.063,0.14,0.457,0.17,0.063,,,17.8,,,1.61,,418.0,150.0,,0.067,,,0.84,25.0,0.542,,42.0,144.0,,16.0,,0.27
