b,g,e,p,f,d,c,n
ROUNDY'S,011150900287,333.0,0.0,0.0,0.0,66.67,"ROUNDY'S, SLOPPY JOE SEASONING MIX"
ROUNDY'S,011150083928,42.0,1.67,1.67,0.0,5.0,BEEF GRAVY
ROUNDY'S,011150183512,370.0,7.41,3.7,7.4,74.07,"ROUNDY'S, SCALLOPED POTATOES"
ROUNDY'S,011150182058,357.0,7.14,12.5,7.1,64.29,"ROUNDY'S, DELUXE BAKED FLAVORED MASHED POTATOES"
"Topco Associates, Inc.",036800145894,368.0,10.53,0.0,5.3,78.95,"CLEAR VALUE, MASHED POTATO FLAKES"
ROUNDY'S,011150183482,368.0,10.53,0.0,5.3,78.95,"ROUNDY'S, INSTANT MASHED POTATOES"
"Topco Associates, Inc.",036800280847,286.0,14.29,7.14,14.3,57.14,"CLEAR VALUE, CHILI SEASONING"
"Topco Associates, Inc.",036800280854,333.0,16.67,0.0,0.0,50.0,BROWN GRAVY MIX
ROUNDY'S,011150900003,417.0,0.0,8.33,0.0,66.67,"ROUNDY'S, BROWN GRAVY MIX"
"McCormick & Company, Inc.",052100018980,333.0,13.33,0.0,13.3,66.67,"MCCORMICK, CRISPY CHICKEN TENDERS SEASONING MIX"
ROUNDY'S,011150900027,417.0,16.67,16.67,0.0,33.33,"ROUNDY'S, CHICKEN GRAVY MIX"
ROUNDY'S,011150900010,500.0,11.11,22.22,0.0,55.56,"ROUNDY'S, COUNTRY GRAVY MIX"
ROUNDY'S,011150183475,357.0,7.14,3.57,7.1,75.0,"ROUNDY'S, THREE CHEESE SCALLOPED POTATOES"
ROUNDY'S,011150183468,321.0,7.14,1.79,7.1,75.0,"ROUNDY'S, POTATOES, SOUR CREAM & CHIVES"
ROUNDY'S,011150181969,348.0,8.7,0.0,4.3,78.26,"ROUNDY'S, INSTANT MASHED POTATOES, ROASTED GARLIC"
ROUNDY'S,011150181952,348.0,8.7,2.17,4.3,78.26,"ROUNDY'S, INSTANT MASHED POTATOES, BUTTER & HERB"
ROUNDY'S,011150052627,143.0,19.05,7.94,0.0,0.0,TRADITIONAL STYLE PINK SALMON
Mid U S Trading Company,073436348398,85.0,18.31,0.7,0.0,0.0,SPECIAL WHITE CRAB MEAT
Mid U S Trading Company,073436348190,85.0,18.31,0.7,0.0,0.0,LUMP CRAB MEAT
"Tri-Union Seafoods, LLC",048000014801,175.0,20.63,11.11,0.0,0.0,"CHICKEN OF THE SEA, RED SALMON"
ROUNDY'S,011150052764,175.0,20.63,11.11,0.0,0.0,TRADITIONAL STYLE SOCKEYE RED SALMON
ROUNDY'S,011150052009,125.0,25.0,1.79,0.0,0.0,PINK SALMON
"Bumble Bee Foods, LLC",086600240138,239.0,16.9,16.9,0.0,2.82,"BUMBLE BEE, PRIME FILLET, ALBACORE TUNA WITH SUNDRIED TOMATOES & OLIVE OIL"
"Tri-Union Seafoods, LLC",048000011725,100.0,18.57,2.14,0.0,1.43,PREMIUM WILD-CAUGHT PINK SALMON
"Tri-Union Seafoods, LLC",048000011756,129.0,15.71,2.14,0.0,11.43,PREMIUM PINK SALMON
"Tri-Union Seafoods, LLC",048000011749,143.0,18.57,3.57,1.4,10.0,PREMIUM WILD-CAUGHT PINK SALMON
"Tri-Union Seafoods, LLC",048000011930,141.0,24.71,4.12,0.0,1.18,"CHICKEN OF THE SEA, SMOKED SALMON"
"Tri-Union Seafoods, LLC",048000732651,161.0,23.21,7.14,0.0,0.0,SOLID LIGHT TUNA IN OLIVE OIL
ROUNDY'S,011150001298,125.0,25.0,0.89,0.0,0.0,CHUNK WHITE ALBACORE TUNA IN WATER
ROUNDY'S,011150049696,125.0,28.57,0.89,0.0,0.0,SOLID WHITE ALBACORE TUNA IN WATER
"King Oscar, Inc.",034800006559,303.0,18.42,25.0,0.0,1.32,"KING OSCAR, SARDINES IN EXTRA VIRGIN OLIVE OIL WITH SPICY CRACKED PEPPER, SPICY"
BRUNSWICK,066613000097,202.0,22.62,11.9,0.0,0.0,SARDINE FILLETS
ROUNDY'S,011150049658,107.0,25.0,0.0,0.0,1.79,CHUNK LIGHT TUNA IN WATER
ROUNDY'S,011150049641,122.0,25.68,0.0,0.0,2.7,CHUNK LIGHT TUNA IN WATER
"Tri-Union Seafoods, LLC",048000003973,107.0,23.21,0.89,0.0,0.0,"CHICKEN OF THE SEA, LIGHT TUNA IN WATER"
"Tri-Union Seafoods, LLC",048000100054,107.0,23.21,1.79,0.0,0.0,"CHICKEN OF THE SEA, SOLID WHITE ALBACORE TUNA IN WATER"
"Tri-Union Seafoods, LLC",048000100023,107.0,23.21,1.79,0.0,0.0,"CHICKEN OF THE SEA, SOLID WHITE YELLOWFIN TUNA IN WATER"
"Tri-Union Seafoods, LLC",048000100061,161.0,23.21,7.14,0.0,0.0,"CHICKEN OF THE SEA, PREMIUM SELECT SOLID WHITE ALBACORE TUNA IN OLIVE OIL"
